,round,reward,ticks
928,928,12.0,122
929,929,9.0,123
930,930,12.0,174
931,931,5.0,145
932,932,4.0,157
933,933,16.0,177
934,934,6.0,124
935,935,5.0,141
936,936,9.0,141
937,937,5.0,158
938,938,10.0,140
939,939,12.0,137
940,940,5.0,130
941,941,15.0,190
942,942,2.0,142
943,943,11.0,145
944,944,9.0,177
945,945,10.0,198
946,946,14.0,118
947,947,2.0,130
948,948,9.0,118
949,949,16.0,137
950,950,26.0,245
951,951,10.0,142
952,952,1.0,145
953,953,2.0,145
954,954,12.0,145
955,955,12.0,193
956,956,8.0,152
957,957,6.0,125
958,958,7.0,168
959,959,9.0,146
960,960,6.0,141
961,961,17.0,209
962,962,8.0,162
963,963,10.0,146
964,964,8.0,140
965,965,23.0,201
966,966,8.0,140
967,967,16.0,161
968,968,22.0,217
969,969,14.0,202
970,970,15.0,201
971,971,12.0,136
972,972,4.0,129
973,973,4.0,145
974,974,3.0,142
975,975,33.0,302
976,976,12.0,165
977,977,27.0,270
978,978,4.0,145
979,979,7.0,97
980,980,1.0,145
981,981,11.0,161
982,982,6.0,142
983,983,15.0,181
984,984,10.0,136
985,985,14.0,184
986,986,7.0,137
987,987,8.0,142
988,988,6.0,142
989,989,5.0,125
990,990,18.0,161
991,991,5.0,141
992,992,10.0,134
993,993,5.0,139
994,994,3.0,127
995,995,7.0,133
996,996,9.0,142
997,997,7.0,161
998,998,5.0,141
999,999,9.0,125
1000,1000,2.0,127
1001,1001,8.0,118
1002,1002,8.0,118
1003,1003,10.0,152
1004,1004,5.0,140
1005,1005,8.0,142
1006,1006,2.0,121
1007,1007,8.0,140
1008,1008,8.0,143
1009,1009,4.0,144
1010,1010,8.0,140
1011,1011,11.0,121
1012,1012,19.0,193
1013,1013,13.0,137
1014,1014,10.0,142
1015,1015,8.0,136
1016,1016,5.0,145
1017,1017,6.0,145
1018,1018,11.0,145
1019,1019,8.0,145
1020,1020,10.0,152
1021,1021,8.0,142
1022,1022,1.0,128
1023,1023,4.0,129
1024,1024,15.0,143
1025,1025,10.0,142
1026,1026,10.0,158
1027,1027,14.0,155
1028,1028,5.0,141
1029,1029,6.0,121
1030,1030,13.0,145
1031,1031,14.0,142
1032,1032,14.0,141
1033,1033,24.0,193
1034,1034,9.0,135
1035,1035,7.0,142
1036,1036,6.0,118
1037,1037,6.0,136
1038,1038,13.0,168
1039,1039,7.0,142
1040,1040,9.0,142
1041,1041,38.0,408
1042,1042,13.0,177
1043,1043,9.0,118
1044,1044,12.0,174
1045,1045,13.0,161
1046,1046,13.0,171
1047,1047,11.0,142
1048,1048,27.0,286
1049,1049,7.0,142
1050,1050,9.0,142
1051,1051,13.0,179
1052,1052,6.0,139
1053,1053,44.0,415
1054,1054,5.0,142
1055,1055,12.0,142
1056,1056,14.0,142
1057,1057,8.0,158
1058,1058,2.0,142
1059,1059,14.0,206
1060,1060,10.0,146
1061,1061,3.0,121
1062,1062,1.0,144
1063,1063,20.0,222
1064,1064,20.0,184
1065,1065,7.0,174
1066,1066,15.0,152
1067,1067,12.0,142
1068,1068,12.0,142
1069,1069,8.0,133
1070,1070,15.0,161
1071,1071,7.0,136
1072,1072,2.0,107
1073,1073,6.0,142
1074,1074,10.0,145
1075,1075,11.0,136
1076,1076,3.0,142
1077,1077,4.0,121
1078,1078,16.0,171
1079,1079,15.0,216
1080,1080,3.0,90
1081,1081,5.0,142
1082,1082,5.0,173
1083,1083,1.0,133
1084,1084,8.0,190
1085,1085,3.0,136
1086,1086,4.0,113
1087,1087,3.0,152
1088,1088,9.0,133
1089,1089,11.0,145
1090,1090,7.0,134
1091,1091,7.0,139
1092,1092,7.0,139
1093,1093,4.0,161
1094,1094,8.0,155
1095,1095,5.0,141
1096,1096,42.0,395
1097,1097,9.0,127
1098,1098,1.0,72
1099,1099,5.0,121
1100,1100,21.0,269
1101,1101,5.0,145
1102,1102,5.0,145
1103,1103,2.0,161
1104,1104,6.0,145
1105,1105,3.0,142
1106,1106,4.0,139
1107,1107,3.0,118
1108,1108,4.0,158
1109,1109,7.0,133
1110,1110,12.0,143
1111,1111,3.0,142
1112,1112,3.0,130
1113,1113,15.0,130
1114,1114,14.0,152
1115,1115,17.0,156
1116,1116,14.0,130
1117,1117,17.0,142
1118,1118,15.0,177
1119,1119,7.0,159
1120,1120,10.0,161
1121,1121,5.0,142
1122,1122,4.0,192
1123,1123,4.0,133
1124,1124,3.0,132
1125,1125,4.0,177
1126,1126,4.0,145
1127,1127,6.0,177
1128,1128,12.0,177
1129,1129,13.0,145
1130,1130,12.0,145
1131,1131,4.0,140
1132,1132,9.0,158
1133,1133,7.0,145
1134,1134,14.0,161
1135,1135,9.0,145
1136,1136,4.0,122
1137,1137,9.0,191
1138,1138,13.0,143
1139,1139,7.0,209
1140,1140,4.0,177
1141,1141,16.0,209
1142,1142,10.0,145
1143,1143,16.0,145
1144,1144,13.0,191
1145,1145,25.0,302
1146,1146,30.0,289
1147,1147,22.0,273
1148,1148,15.0,174
1149,1149,3.0,121
1150,1150,12.0,143
1151,1151,14.0,225
1152,1152,30.0,289
1153,1153,25.0,225
1154,1154,10.0,143
1155,1155,15.0,257
1156,1156,14.0,145
1157,1157,6.0,136
1158,1158,9.0,145
1159,1159,15.0,177
1160,1160,9.0,142
1161,1161,3.0,145
1162,1162,25.0,302
1163,1163,12.0,153
1164,1164,17.0,204
1165,1165,4.0,121
1166,1166,12.0,142
1167,1167,3.0,121
1168,1168,13.0,177
1169,1169,15.0,161
1170,1170,4.0,145
1171,1171,8.0,161
1172,1172,12.0,142
1173,1173,1.0,121
1174,1174,8.0,145
1175,1175,0.0,66
1176,1176,12.0,142
1177,1177,20.0,252
1178,1178,19.0,209
1179,1179,19.0,252
1180,1180,45.0,425
1181,1181,2.0,121
1182,1182,37.0,332
1183,1183,22.0,236
1184,1184,10.0,121
1185,1185,25.0,220
1186,1186,21.0,249
1187,1187,38.0,325
1188,1188,21.0,249
1189,1189,11.0,190
1190,1190,22.0,225
1191,1191,14.0,161
1192,1192,6.0,178
1193,1193,4.0,130
1194,1194,6.0,147
1195,1195,12.0,144
1196,1196,12.0,161
1197,1197,44.0,348
1198,1198,12.0,155
1199,1199,14.0,171
